Min,Max,Mean,Median,Std,Label
480.0,1176.0,886.6666666666666,880.0,70.27022671021321,0
372.0,1476.0,782.304347826087,842.0,205.067737437214,1
440.0,1464.0,924.4,964.0,168.1280464408006,0
932.0,1160.0,965.6949152542372,956.0,34.61519909004808,0
492.0,1396.0,934.24,944.0,147.07130606160626,0
320.0,1572.0,842.0650454145913,872.0,139.88243940246497,0
428.0,840.0,692.0,690.0,86.98717854241066,0
372.0,1744.0,939.3205479452056,1012.0,222.63427119426612,0
788.0,1084.0,929.7777777777778,922.0,83.0445366157726,0
412.0,1068.0,640.7757575757576,624.0,142.94420829481737,1
380.0,1228.0,562.0449438202247,534.0,134.25599479113174,1
380.0,1204.0,885.8653530377668,884.0,60.44945178900544,0
348.0,1584.0,751.6564417177914,752.0,88.60572211909682,0
584.0,784.0,618.4411764705883,616.0,22.963770924795977,0
456.0,876.0,688.156862745098,680.0,64.0830871661616,0
556.0,1036.0,938.6,944.0,68.47218413341288,0
356.0,852.0,533.1304347826087,518.0,107.5842660016571,1
440.0,1780.0,774.8974545454546,720.0,193.9417129703775,1
372.0,852.0,527.9574468085107,524.0,99.36735142717365,1
716.0,980.0,846.7692307692307,824.0,55.30079126733089,0
696.0,1000.0,848.9433962264151,848.0,67.30511071299331,0
388.0,984.0,610.0261437908497,608.0,29.729487949796614,0
368.0,1492.0,738.7482868889904,768.0,171.56189797280985,1
304.0,1536.0,572.1058221872541,580.0,67.2610598389995,0
392.0,1208.0,626.1178671655753,588.0,113.72810349077388,1
404.0,736.0,642.84,640.0,41.20697028416431,0
336.0,808.0,475.3333333333333,406.0,156.34861332576278,1
340.0,948.0,548.2,512.0,146.3829225012262,1
392.0,1172.0,952.6060606060606,976.0,129.58159694300485,0
376.0,980.0,621.1176470588235,668.0,156.6815362645783,0
724.0,1040.0,805.170731707317,780.0,72.93829749129067,0
552.0,780.0,596.7272727272727,596.0,12.346981155923372,0
332.0,980.0,628.1320754716982,612.0,110.79839548866325,0
380.0,1740.0,475.0182555780933,452.0,97.60612194932968,1
352.0,904.0,544.8515406162466,528.0,99.667080720864,1
