Min,Max,Mean,Median,Std,Label
316.0,1004.0,539.2475247524752,532.0,124.16879328779198,1
352.0,1188.0,583.0555555555555,558.0,151.5409633737588,1
404.0,4392.0,706.7535211267606,672.0,250.8616050374546,1
1068.0,1356.0,1140.0,1132.0,48.63126566315131,0
580.0,708.0,610.7820512820513,608.0,16.42086496042922,0
544.0,1168.0,991.9113082039912,992.0,85.169095562094,0
304.0,404.0,334.85714285714283,328.0,30.74052035728632,1
748.0,1008.0,804.0,784.0,63.85853931525729,0
376.0,1072.0,531.7300613496933,508.0,107.20235217120556,1
328.0,644.0,481.1428571428572,468.0,117.8806037255234,1
360.0,1044.0,550.5333333333333,524.0,121.2739048600316,1
380.0,900.0,676.3456790123457,692.0,128.21000909424487,0
304.0,2928.0,620.3560387294037,592.0,167.42226657812418,1
388.0,896.0,531.9540229885057,516.0,104.03093130277942,1
464.0,1220.0,575.5555555555555,510.0,135.36817650347714,1
376.0,1612.0,767.937675070028,784.0,120.2088939655974,0
672.0,952.0,745.0285714285715,732.0,45.969857027209045,0
368.0,1140.0,544.0168067226891,516.0,103.39026035377542,1
824.0,960.0,872.6857142857143,872.0,25.171152909144038,0
316.0,1628.0,526.2222222222222,456.0,264.1639969487716,1
464.0,1248.0,870.9629629629629,904.0,152.2321525101958,0
364.0,872.0,565.7142857142857,542.0,114.27999985713572,1
592.0,672.0,625.4545454545455,624.0,14.490371893338043,0
392.0,924.0,538.3225806451613,484.0,136.80133632076377,1
440.0,852.0,618.4,536.0,160.25180186194476,1
544.0,1192.0,1005.483870967742,1028.0,115.37592720565236,0
576.0,780.0,609.679012345679,604.0,20.78569496249576,0
360.0,1448.0,636.2461538461539,596.0,203.62968128588648,1
324.0,4192.0,1027.190516511431,1056.0,214.70747706123112,0
364.0,1196.0,775.2941176470588,816.0,194.7413864910506,1
328.0,2212.0,671.7245762711865,644.0,195.79851821448997,1
580.0,728.0,613.8947368421053,612.0,18.58788281391529,0
304.0,1464.0,473.9194001874414,436.0,149.89657499219877,1
836.0,900.0,873.0,876.0,15.095989165632336,0
412.0,984.0,612.8668046928916,612.0,25.09266873741376,0
384.0,816.0,535.3333333333334,518.0,92.1231060411375,1
420.0,1512.0,723.9446494464945,704.0,147.86883548696778,1
400.0,980.0,678.8372093023256,672.0,56.5681027026256,0
304.0,1832.0,652.5310821181888,628.0,120.88829729549506,0
304.0,1764.0,578.3841721926296,512.0,160.46110801397123,1
548.0,1024.0,898.75,898.0,63.82348705609871,0
560.0,956.0,738.4,734.0,127.65202701093312,1
532.0,788.0,754.3846153846154,756.0,22.685266182594106,0
304.0,892.0,665.1724137931035,676.0,116.27081021463086,0
320.0,2248.0,567.6969359331476,564.0,68.4182253209706,0
308.0,1248.0,544.2534653465347,524.0,104.25264650440722,1
364.0,1108.0,532.8,508.0,111.28117150010053,1
360.0,2376.0,1037.485667336133,1012.0,127.525878061971,0
348.0,1388.0,741.9497487437186,716.0,212.7400978508876,0
308.0,3276.0,773.807921866522,752.0,83.90744456587925,0
328.0,756.0,485.4117647058824,492.0,110.05830477445576,1
588.0,700.0,618.96,616.0,18.54683441093565,0
576.0,1084.0,820.0,804.0,167.4873129523547,1
312.0,1452.0,624.7820895522389,608.0,142.01344368290825,0
372.0,960.0,553.2786885245902,536.0,117.83096132791398,1
304.0,1920.0,582.5621854780733,580.0,85.93728328128961,0
828.0,948.0,878.3846153846154,876.0,28.270774421485743,0
308.0,1560.0,614.6583850931677,572.0,170.02795187047292,1
304.0,4072.0,582.872674495316,584.0,39.69313638382197,0
380.0,928.0,534.5365853658536,508.0,106.57996674759056,1
312.0,3060.0,671.1371377352854,644.0,204.7200220731708,1
328.0,4000.0,687.4851959609789,672.0,149.72065463961422,1
368.0,1024.0,550.434250764526,520.0,113.00940850647343,1
532.0,1676.0,860.0,874.0,185.24863689448395,1
448.0,1828.0,1067.144749290445,1088.0,135.41974709359644,0
384.0,840.0,631.75,636.0,90.45959042578072,0
396.0,900.0,665.8823529411765,684.0,135.2356907089341,0
868.0,1064.0,943.44,926.0,55.21744651828804,0
372.0,564.0,477.8181818181818,464.0,60.67172200654659,1
396.0,844.0,676.5454545454545,684.0,96.41045174985732,0
576.0,640.0,607.8367346938776,608.0,16.58047405685437,0
912.0,1064.0,1028.25,1036.0,35.67824967679889,0
564.0,676.0,606.2172701949861,604.0,17.409619609391463,0
512.0,1284.0,826.0640569395018,848.0,193.12779357502356,1
556.0,908.0,721.3731343283582,720.0,36.31077954370449,0
332.0,1312.0,572.9347826086956,542.0,132.05053416317114,1
436.0,780.0,608.0,608.0,172.0,1
464.0,1388.0,810.1390438247012,812.0,71.1017212899974,0
384.0,1520.0,1001.4990583804145,1104.0,271.75032419424696,0
400.0,756.0,619.1264367816092,616.0,26.66730082480201,0
380.0,1184.0,556.7954545454545,524.0,130.49835936716087,1
588.0,1408.0,1027.68,1040.0,121.28865404480337,0
376.0,588.0,498.4,500.0,71.13255232311013,1
376.0,2412.0,750.3201426024956,732.0,191.14905431841555,1
384.0,1080.0,869.8389366692729,880.0,44.90875834617746,0
408.0,1044.0,672.4651162790698,696.0,197.51047647659036,0
304.0,720.0,452.0,440.0,99.51265864586892,1
368.0,964.0,533.7204301075269,508.0,108.60507182273514,1
368.0,2800.0,699.0901389025712,704.0,74.3926675858136,0
412.0,1084.0,679.5463917525773,688.0,127.19447085001612,1
