Min,Max,Mean,Median,Std,Label
512.0,1572.0,849.4054054054054,540.0,450.9768052679655,0
716.0,1384.0,1213.6923076923076,1318.0,212.32246325428417,0
336.0,1136.0,477.45454545454544,456.0,125.14357594599478,0
604.0,656.0,628.1869158878504,628.0,11.721161341715788,0
548.0,1596.0,1064.0,1056.0,510.8372213011368,0
304.0,77164.0,2324.6526315789474,970.0,5194.330552618066,1
332.0,2080.0,1013.6,780.0,590.4336033797534,1
312.0,9848.0,2067.6,1470.0,2014.2453078014105,1
644.0,1128.0,908.421052631579,958.0,163.07257531523993,0
404.0,708.0,568.0,574.0,88.72429205127534,0
376.0,1612.0,767.937675070028,784.0,120.2088939655974,0
416.0,2108.0,710.7914893617021,600.0,292.775484258652,0
304.0,892.0,665.1724137931035,676.0,116.27081021463086,0
512.0,1824.0,1168.0,1168.0,656.0,1
332.0,2184.0,585.4279877425945,588.0,61.21370053286541,0
512.0,868.0,690.0,690.0,178.0,1
324.0,1664.0,690.4347826086956,588.0,270.3362245762126,0
396.0,1264.0,982.5762711864406,1108.0,218.1630265837414,0
316.0,1708.0,589.9,564.0,160.6281108648172,0
824.0,892.0,857.0,856.0,15.284263006510123,0
452.0,452.0,452.0,452.0,0.0,0
716.0,716.0,716.0,716.0,0.0,1
500.0,528.0,514.0,514.0,14.0,0
504.0,1488.0,766.2222222222222,692.0,274.71916075139467,0
460.0,12252.0,1560.6666666666667,948.0,1544.392903575067,0
1212.0,1212.0,1212.0,1212.0,0.0,1
552.0,576.0,564.4705882352941,568.0,7.244613796866189,0
552.0,1844.0,1198.0,1198.0,646.0,0
556.0,556.0,556.0,556.0,0.0,0
308.0,15628.0,2321.866666666667,1386.0,2751.571523491419,1
508.0,1712.0,752.5128205128206,528.0,425.12302121735047,0
456.0,456.0,456.0,456.0,0.0,0
556.0,628.0,592.4596273291926,592.0,11.79272003499826,0
480.0,480.0,480.0,480.0,0.0,0
428.0,1708.0,727.4285714285714,576.0,408.2880135894468,0
584.0,636.0,604.9230769230769,604.0,11.111058514010947,0
316.0,764.0,536.5714285714286,536.0,186.5099439270557,0
516.0,2180.0,830.2666666666667,534.0,527.2526866271576,0
520.0,1752.0,694.6486486486486,580.0,240.61028445322185,0
728.0,1204.0,1096.8372093023256,1148.0,108.96402867781816,0
648.0,1056.0,893.3770491803278,904.0,62.63246001100682,0
384.0,1520.0,1001.4990583804145,1104.0,271.75032419424696,0
416.0,984.0,609.978947368421,612.0,38.26675868093087,0
432.0,1276.0,680.8,564.0,302.17769606640394,0
552.0,580.0,562.6976744186046,564.0,6.886234613329021,0
428.0,1708.0,727.4285714285714,576.0,408.2880135894468,0
952.0,952.0,952.0,952.0,0.0,1
596.0,712.0,635.0943396226415,636.0,17.07062372543026,0
572.0,572.0,572.0,572.0,0.0,0
468.0,8360.0,1924.0,1332.0,1899.907165651848,1
324.0,836.0,587.5167286245353,590.0,90.85617489027454,0
532.0,1396.0,919.3333333333334,924.0,285.8896445989062,0
580.0,628.0,601.5555555555555,604.0,10.078702640398724,0
544.0,568.0,555.5862068965517,556.0,6.419352429362811,0
